Arias,Joaquin,258.0
Arias,Rodolfo,235.0
Arlett,Russell Loris,300.0
Arlich,Donald Louis,259.0
Arlin,Stephen Ralph,270.0
Armas,Marcos Rafael,267.0
Armas,Antonio Rafael,253.0
Armas,Antonio Jose,281.0
Armbruster,Charles Anthony,249.0
Armbrister,Edison Rosanda,231.0
Armbruster,Harry Gregory,260.0
Armbrust,Orville Martin,265.0
Armour,William Reginald,
Armstrong,Robert,234.0
Armstrong,Noble George,260.0
Armstrong,Howard Elmer,234.0
Armstrong,Jack William,297.0
Armstrong,Michael Dennis,268.0
Armstrong,Shawn Michael,299.0
Arndt,Harry John,
Arndt,Larry Wayne,268.0
Arnold,Willis S.,
Arnold,Christopher Paul,230.0
Arnold,James Lee,264.0
Arnold,Scott Gentry,284.0
Arnold,Tony Dale,241.0
Arnovich,Morris,238.0
Arnsberg,Bradley James,281.0
Arntzen,Orie Edgar,273.0
Arocha,Rene,252.0
Aro,Jonathan Arturo,307.0
Arredondo,Jose Juan,262.0
Arrieta,Jacob Joseph,301.0
Arrigo,Gerald William,258.0
Arrojo,Luis Rolando,291.0
Arroyo,Bronson Anthony,260.0
Arroyo,Fernando,254.0
Arroyo,Luis Enrique,246.0
Arroyo,Rudolph,269.0
Arruebarrena,Barbaro Erisbel,303.0
Arundel,Harry,211.0
Arundel,John Thomas,245.0
Asadoor,Randall Carl,258.0
Asbell,James Marion,267.0
Asbjornson,Robert Anthony,269.0
Ascanio,Jose Eleazar,266.0
Asche,Cody James,278.0
Asencio,Miguel,264.0
Ashburn,Don Richard,240.0
Ashby,Alan Dean,259.0
Ashby,Andrew Jason,253.0
Asher,Alec Edward,306.0
Ashford,Thomas Steven,268.0
Ash,Kenneth Lowther,236.0
Ashley,Billy Manual,299.0
Ashley,Nevin Robert,318.0
Asmussen,Thomas William,
Aspromonte,Robert Thomas,244.0
Aspromonte,Kenneth Joseph,252.0
Asselstine,Brian Hanly,248.0
Assenmacher,Paul Andre,270.0
Astacio,Ezequiel F.,275.0
Astacio,Pedro Julio,248.0
Astroth,Joseph Henry,256.0
Asuaje,Carlos A.,229.0
Atchison,Scott Barham,274.0
Atchley,Justin Scott,290.0
Atherton,Charles Morgan Herbert,230.0
Atherton,Keith Rowe,276.0
Atilano,Luis A.,294.0
Atkinson,Albert Wright,236.0
Atkinson,William Cecil Glenn,232.0
Atkinson,Edward,
Atkins,Garrett Bernard,264.0
Atkins,James Curtis,280.0
Atkinson,Hubert Burley,215.0
Atkins,Mitchell Shane,301.0
Atkins,Francis Montgomery,235.0
Attreau,Richard Gilbert,232.0
Atwell,Maurice Dailey,254.0
Atwood,William Franklin,261.0
Atz,Jacob Henry,229.0
Aubrey,Harry Herbert,197.0
Aubrey,Robert Michael,262.0
Aucoin,Derek Alfred,314.0
Aude,Richard Thomas,257.0
Auerbach,Frederick Steven,237.0
Augenstein,Bryan Christopher,308.0
Augustine,David Ralph,248.0
August,Donald Glenn,265.0
Augustine,Gerald Lee,255.0
Auker,Elden LeRoy,268.0
Aulds,Leycester Doyle,259.0
Ault,Douglas Reagan,275.0
Aumont,Phillippe,319.0
Aurilia,Richard Santo,242.0
Ausanio,Joseph John,278.0
Ausmus,Bradley David,261.0
Aust,Dennis Kay,251.0
Austin,Henry C.,
Austin,Jeffrey Wellington,257.0
Austin,James Philip,222.0
Austin,James Parker,274.0
Austin,Rick Gerald,266.0
